epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9361,0.70086,1.86676,1.29811,0.52871,0.44444,0.4806,0.44059,0.3682,2.94215,0.94271,0.00028,0.00028,0.00028
2,25.6332,0.83796,1.77568,1.37181,0.18072,0.96296,0.68827,0.48167,0.58674,22.4452,1.27678,0.00056086,0.00056086,0.00056086
3,36.4596,0.84341,1.87902,1.27816,0.01441,0.85185,0.0224,0.01573,1.02659,53.7995,1.68165,0.00082192,0.00082192,0.00082192
4,46.1245,1.01114,3.47716,1.3743,0.23377,0.66667,0.29909,0.08992,2.11601,119.368,2.55151,0.00106318,0.00106318,0.00106318
5,55.688,1.40747,6.43453,1.61779,0.23377,0.66667,0.29909,0.08992,2.11601,119.368,2.55151,0.00128464,0.00128464,0.00128464
6,65.2713,1.4311,3.63215,1.73491,0.00137,0.11111,0.00131,0.00068,3.73687,5.62725,4.08031,0.0014863,0.0014863,0.0014863
7,74.9414,1.5906,3.20188,1.85816,0.00137,0.11111,0.00131,0.00068,3.73687,5.62725,4.08031,0.001604,0.001604,0.001604
8,84.4898,1.87458,3.53745,2.17589,0.01539,0.07407,0.00665,0.00192,2.91033,26.2157,3.89651,0.001538,0.001538,0.001538
9,93.9591,1.80104,3.51639,2.11842,0.01539,0.07407,0.00665,0.00192,2.91033,26.2157,3.89651,0.001472,0.001472,0.001472
10,103.583,1.65156,3.30445,2.02151,0.01453,0.40741,0.02811,0.00879,2.22138,531.134,5.21205,0.001406,0.001406,0.001406
11,113.145,1.42197,2.97605,1.7436,0.01453,0.40741,0.02811,0.00879,2.22138,531.134,5.21205,0.00134,0.00134,0.00134
12,122.664,1.65486,2.96927,1.94912,0.06243,0.11111,0.02853,0.00604,2.90847,5.34632,4.24909,0.001274,0.001274,0.001274
13,132.91,1.74533,2.77811,1.96741,0.06243,0.11111,0.02853,0.00604,2.90847,5.34632,4.24909,0.001208,0.001208,0.001208
14,143.023,1.92893,2.73897,2.00049,0.06443,0.11111,0.01674,0.00623,2.58667,5.23078,3.47824,0.001142,0.001142,0.001142
15,153.13,1.71592,2.78851,1.91743,0.06443,0.11111,0.01674,0.00623,2.58667,5.23078,3.47824,0.001076,0.001076,0.001076
16,163.22,1.74922,2.63898,2.02036,0.16576,0.25926,0.11988,0.06431,1.84489,3.03366,3.7157,0.00101,0.00101,0.00101
17,173.16,1.45064,2.32978,1.76305,0.16576,0.25926,0.11988,0.06431,1.84489,3.03366,3.7157,0.000944,0.000944,0.000944
18,183.265,1.52519,2.32126,1.87543,0.16576,0.25926,0.11988,0.06431,1.84489,3.03366,3.7157,0.000878,0.000878,0.000878
19,193.077,1.24015,1.85272,1.60321,0.30566,0.40741,0.29486,0.1312,1.36585,3.82328,2.04265,0.000812,0.000812,0.000812
20,202.74,1.19212,1.94472,1.6118,0.30566,0.40741,0.29486,0.1312,1.36585,3.82328,2.04265,0.000746,0.000746,0.000746
21,232.519,1.14893,2.12639,1.67663,0.36345,0.84597,0.36989,0.204,1.05131,5.0719,1.6032,0.00068,0.00068,0.00068
22,243.013,1.06738,2.15008,1.61602,0.36345,0.84597,0.36989,0.204,1.05131,5.0719,1.6032,0.000614,0.000614,0.000614
23,252.773,1.12016,1.88383,1.66619,0.61455,0.64988,0.60286,0.35136,0.98922,2.8873,1.56166,0.000548,0.000548,0.000548
24,262.253,1.06063,1.80827,1.56,0.61455,0.64988,0.60286,0.35136,0.98922,2.8873,1.56166,0.000482,0.000482,0.000482
25,271.819,0.92186,1.76484,1.48646,0.66478,0.58776,0.67045,0.45904,0.98644,2.11325,1.58629,0.000416,0.000416,0.000416
26,281.466,0.7498,1.65449,1.33628,0.66478,0.58776,0.67045,0.45904,0.98644,2.11325,1.58629,0.00035,0.00035,0.00035
27,291.076,0.79712,1.65765,1.41179,0.53544,0.68327,0.63728,0.43156,0.78618,1.93968,1.40899,0.000284,0.000284,0.000284
28,300.636,0.83598,1.54498,1.39886,0.53544,0.68327,0.63728,0.43156,0.78618,1.93968,1.40899,0.000218,0.000218,0.000218
29,310.162,0.86764,1.57032,1.48114,0.59484,0.77778,0.76611,0.51141,0.75567,1.78539,1.36197,0.000152,0.000152,0.000152
30,320.774,0.82304,1.43439,1.37285,0.59484,0.77778,0.76611,0.51141,0.75567,1.78539,1.36197,8.6e-05,8.6e-05,8.6e-05
