epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2639,0.6935,1.82624,1.29635,0.85948,0.94133,0.96749,0.83937,0.3829,3.4959,0.88142,0.00024,0.00024,0.00024
2,31.4471,0.85912,1.72231,1.47417,0.63636,0.80769,0.67046,0.41047,0.55232,17.3321,1.3103,0.0004835,0.0004835,0.0004835
3,39.8401,0.7255,2.00028,1.25685,0.01672,0.76923,0.02074,0.01125,1.40461,87.9616,1.95656,0.00070984,0.00070984,0.00070984
4,48.2804,1.00377,3.89392,1.45049,0.01672,0.76923,0.02074,0.01125,1.40461,87.9616,1.95656,0.00091902,0.00091902,0.00091902
5,56.8364,1.21705,3.08441,1.56256,0.8,0.15385,0.39716,0.15381,1.73849,196.138,2.6079,0.00111104,0.00111104,0.00111104
6,65.2558,1.26934,3.20013,1.6497,0.8,0.15385,0.39716,0.15381,1.73849,196.138,2.6079,0.0012859,0.0012859,0.0012859
7,73.9137,1.5503,2.49623,1.86979,0.04412,0.61538,0.04146,0.01485,1.82657,22.3239,2.50185,0.0014436,0.0014436,0.0014436
8,82.4534,1.40232,2.30737,1.79318,0.04412,0.61538,0.04146,0.01485,1.82657,22.3239,2.50185,0.001538,0.001538,0.001538
9,90.8907,1.95529,3.22786,2.20939,0.00027,0.07692,7e-05,2e-05,4.7491,3990.61,16.7119,0.001472,0.001472,0.001472
10,99.4084,2.22644,4.05803,2.30879,0.00027,0.07692,7e-05,2e-05,4.7491,3990.61,16.7119,0.001406,0.001406,0.001406
11,107.926,2.49979,4.47923,2.52776,0.00057,0.15385,0.00019,3e-05,3.93461,92438.5,62.8622,0.00134,0.00134,0.00134
12,116.352,1.81396,2.94599,2.25449,0.00057,0.15385,0.00019,3e-05,3.93461,92438.5,62.8622,0.001274,0.001274,0.001274
13,124.71,1.54383,2.91314,2.02054,0.00057,0.15385,0.00019,3e-05,3.93461,92438.5,62.8622,0.001208,0.001208,0.001208
14,133.116,1.54913,3.07636,1.9399,0.00047,0.11538,8e-05,1e-05,3.89536,168653,91.1773,0.001142,0.001142,0.001142
15,141.611,1.79277,3.28036,2.19944,0.00047,0.11538,8e-05,1e-05,3.89536,168653,91.1773,0.001076,0.001076,0.001076
16,150.09,1.49851,3.02794,1.97576,0.0018,0.38462,0.00071,0.00029,2.75864,38379.4,15.6698,0.00101,0.00101,0.00101
17,158.521,1.45828,2.20654,1.75026,0.0018,0.38462,0.00071,0.00029,2.75864,38379.4,15.6698,0.000944,0.000944,0.000944
18,167.174,1.52051,2.36149,1.84066,0.0018,0.38462,0.00071,0.00029,2.75864,38379.4,15.6698,0.000878,0.000878,0.000878
19,175.702,1.37284,2.11697,1.77957,0.00405,0.65385,0.00305,0.00099,2.62885,7345.47,4.02801,0.000812,0.000812,0.000812
20,184.153,1.26988,2.11318,1.67347,0.00405,0.65385,0.00305,0.00099,2.62885,7345.47,4.02801,0.000746,0.000746,0.000746
21,201.956,1.24252,2.07106,1.71142,0.00353,0.57692,0.00239,0.00097,2.01139,14726.5,5.46897,0.00068,0.00068,0.00068
22,210.559,1.34553,2.08665,1.93199,0.00353,0.57692,0.00239,0.00097,2.01139,14726.5,5.46897,0.000614,0.000614,0.000614
23,219.02,1.18991,2.09546,1.74563,0.00353,0.57692,0.00239,0.00097,2.01139,14726.5,5.46897,0.000548,0.000548,0.000548
24,227.506,1.02001,1.72044,1.50425,0.01311,0.84615,0.01305,0.00676,1.36783,768.854,2.47475,0.000482,0.000482,0.000482
25,236.025,0.88864,1.65118,1.45641,0.01311,0.84615,0.01305,0.00676,1.36783,768.854,2.47475,0.000416,0.000416,0.000416
26,244.469,0.84846,1.48458,1.41289,0.26876,0.61538,0.34934,0.17241,0.95743,3.64326,1.63747,0.00035,0.00035,0.00035
27,252.855,0.97294,1.52387,1.68474,0.26876,0.61538,0.34934,0.17241,0.95743,3.64326,1.63747,0.000284,0.000284,0.000284
28,261.663,0.83753,1.57357,1.49737,0.26876,0.61538,0.34934,0.17241,0.95743,3.64326,1.63747,0.000218,0.000218,0.000218
29,270.184,0.69338,1.38925,1.31949,0.53582,0.69231,0.64003,0.44765,0.73672,1.68014,1.29901,0.000152,0.000152,0.000152
30,278.651,0.78894,1.43901,1.32987,0.53582,0.69231,0.64003,0.44765,0.73672,1.68014,1.29901,8.6e-05,8.6e-05,8.6e-05
